Level Name,Creator,Level ID,Creator User ID,Difficulty,Reward,,Rating,Song Name,Song Artist,Song ID,Extra Songs,Gamemode,Coins,Coins Status,Duration,Length,Description,Objects,Objects (LDM),LDM,Two Player,Game Version,Level Version,Password,Copied ID,Requested Reward,Editor Time,Editor Time (Copies),Editor Time (+Copies),Upload Date,Update Date
chill out,TheRealDarnoc,146,20,Harder,6⭐,6,✔ Normal,Jumper,Waterflame,Level 7,,⭐ Classic,,N/A,0:00:44.15,🕒 Long,"Dude, just chill out!","1,002",N/A,❌ No,❌ No,Pre-1.7,1,No Copy,N/A,N/A,N/A,N/A,N/A,2013-08-14 19:45:26,2013-08-14 19:45:26
Jump Man,Alienware,174,42,Harder,6⭐,6,✔ Normal,Stereo Madness,ForeverBound,Level 1,,⭐ Classic,,N/A,0:01:07.74,🕒 Long,Have fun and dont die-0-,"2,117",N/A,❌ No,❌ No,Pre-1.7,1,No Copy,N/A,N/A,N/A,N/A,N/A,2013-08-16 11:07:26,2013-08-16 11:07:26
Dont stop believin,TheRealDarnoc,296,20,Harder,6⭐,6,✔ Normal,Dry Out,DJVI,Level 4,,⭐ Classic,,N/A,0:01:04.27,🕒 Long,"ya good luck, you will need it version 1","1,801",N/A,❌ No,❌ No,Pre-1.7,1,No Copy,N/A,N/A,N/A,N/A,N/A,2013-08-19 19:58:06,2013-08-19 19:58:06
jumpin jam,TheRealDarnoc,338,20,Harder,7⭐,7,✔ Normal,Cant Let Go,DJVI,Level 6,,⭐ Classic,,N/A,0:00:59.74,🕒 Long,INCOMPLETE,"1,181",N/A,❌ No,❌ No,Pre-1.7,4,No Copy,N/A,N/A,N/A,N/A,N/A,2013-08-20 17:52:06,2013-08-20 17:52:06
switch,Ninjawolf4488,465,191,Normal,3⭐,3,✨ Featured,Base After Base,DJVI,Level 5,,⭐ Classic,,N/A,0:00:34.52,🕒 Medium,"Dont get angry, Get Dizzy","1,076",N/A,❌ No,❌ No,Pre-1.7,1,No Copy,N/A,N/A,N/A,N/A,N/A,2013-08-22 23:32:08,2013-08-22 23:32:08
Afraid of the Dark,Ninjawolf4488,528,191,Normal,3⭐,3,✨ Featured,Polargeist,Step,Level 3,,⭐ Classic,,N/A,0:00:32.78,🕒 Medium,Watch your step..... ,"1,017",N/A,❌ No,❌ No,Pre-1.7,1,No Copy,N/A,N/A,N/A,N/A,N/A,2013-08-23 23:39:35,2013-08-23 23:39:35
lvl 5,smertnet,658,364,Harder,6⭐,6,✨ Featured,Stereo Madness,ForeverBound,Level 1,,⭐ Classic,,N/A,0:01:22.85,🕒 Long,mod ,"3,274",N/A,❌ No,❌ No,Pre-1.7,8,No Copy,N/A,N/A,N/A,N/A,N/A,2013-08-25 18:36:33,2013-08-25 18:36:33
The Rainbow Road,Carbonelite,718,65,Harder,7⭐,7,✨ Featured,Dry Out,DJVI,Level 4,,⭐ Classic,,N/A,0:00:58.97,🕒 Long,Reach the pot o gold at the end! ,"1,618",N/A,❌ No,❌ No,Pre-1.7,2,No Copy,N/A,N/A,N/A,N/A,N/A,2013-08-27 01:28:54,2013-08-27 01:28:54
M,M2coL,828,475,Harder,7⭐,7,✔ Normal,Back On Track,DJVI,Level 2,,⭐ Classic,,N/A,0:01:20.25,🕒 Long,!,"2,516",N/A,❌ No,❌ No,Pre-1.7,2,No Copy,N/A,N/A,N/A,N/A,N/A,2013-08-28 15:04:02,2013-08-28 15:04:02
Even flow,Carbonelite,1614,65,Normal,3⭐,3,✨ Featured,Base After Base,DJVI,Level 5,,⭐ Classic,,N/A,0:00:47.61,🕒 Medium,"Chill bro and go with the flow  ,WIP","1,422",N/A,❌ No,❌ No,Pre-1.7,4,No Copy,N/A,N/A,N/A,N/A,N/A,2013-09-07 18:30:10,2013-09-07 18:30:10
no,YoXdie,1707,1046,Harder,7⭐,7,✨ Featured,Cant Let Go,DJVI,Level 6,,⭐ Classic,,N/A,0:01:21.02,🕒 Long,,"2,011",N/A,❌ No,❌ No,Pre-1.7,1,No Copy,N/A,N/A,N/A,N/A,N/A,2013-09-08 14:07:53,2013-09-08 14:07:53
A Tribute,TheRealDarnoc,1722,20,Harder,6⭐,6,✔ Normal,Stereo Madness,ForeverBound,Level 1,,⭐ Classic,,N/A,0:01:29.11,🕒 Long," A mixture of all the Impossible Game levels, with some added extras.","1,053",N/A,❌ No,❌ No,Pre-1.7,1,No Copy,N/A,N/A,N/A,N/A,N/A,2013-09-08 19:30:07,2013-09-08 19:30:07
DARKNESS,Phenoix,1729,323,Easy,2⭐,2,✨ Featured,Base After Base,DJVI,Level 5,,⭐ Classic,,N/A,0:01:20.35,🕒 Long,Just a Simple Level,"1,388",N/A,❌ No,❌ No,Pre-1.7,1,No Copy,N/A,N/A,N/A,N/A,N/A,2013-09-08 21:05:40,2013-09-08 21:05:40
Oh yeah,Jax,2519,1620,Harder,6⭐,6,✨ Featured,Back On Track,DJVI,Level 2,,⭐ Classic,,N/A,0:01:20.35,🕒 Long,The first map by Jax.,"2,129",N/A,❌ No,❌ No,Pre-1.7,6,No Copy,N/A,N/A,N/A,N/A,N/A,2013-09-16 09:18:54,2013-09-16 09:18:54
quicky,ferflappender,2570,505,Hard,4⭐,4,✨ Featured,Polargeist,Step,Level 3,,⭐ Classic,,N/A,0:00:59.46,🕒 Long,,"1,501",N/A,❌ No,❌ No,Pre-1.7,4,No Copy,N/A,N/A,N/A,N/A,N/A,2013-09-16 21:01:02,2013-09-16 21:01:02
